"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/15 tot 20 jaar (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/20 tot 25 jaar (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/65 tot 80 jaar (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/80 jaar of ouder (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Nederlandse achtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Totaal met migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Westerse migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Nederlandse achtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Zeer sterk stedelijk (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Sterk stedelijk (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Matig stedelijk (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Weinig stedelijk (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Niet stedelijk (aantal)"
"1995";"Aa en Hunze";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1999";"Aa en Hunze";24751;12345;12406;1246;1009;7075;6994;3118;925;23393;1358;998;360;4;45;52;3;256;94,5;5,5;4;1,5;0;0,2;0,2;0;1;;;;;
"2004";"Aa en Hunze";25218;12506;12712;1352;904;6380;7758;3212;1063;23936;1282;956;326;6;27;73;8;212;94,9;5,1;3,8;1,3;0;0,1;0,3;0;0,8;0;0;0;1730;23490
"2009";"Aa en Hunze";25675;12763;12912;1504;851;5662;8478;3564;1189;24201;1474;1018;456;7;35;91;7;316;94,3;5,7;4;1,8;0;0,1;0,4;0;1,2;0;0;0;3150;22530
"2014";"Aa en Hunze";25357;12601;12756;1468;927;4706;8587;4411;1325;23895;1462;1029;433;15;34;76;5;303;94,2;5,8;4,1;1,7;0,1;0,1;0,3;0;1,2;0;0;0;3140;22220
"2019";"Aa en Hunze";25386;12659;12727;1579;1031;4347;8354;5107;1506;23679;1707;1075;632;13;33;65;15;506;93,3;6,7;4,2;2,5;0,1;0,1;0,3;0,1;2;0;0;0;4140;21250
"1995";"Aalburg";11188;5638;5550;775;878;3317;2278;997;318;;;;;;;;;;;;;;;;;;;;;;;
"1999";"Aalburg";11691;5897;5794;819;730;3523;2494;1046;315;11324;367;263;104;10;2;31;1;60;96,9;3,1;2,2;0,9;0,1;0;0,3;0;0,5;;;;;
"2004";"Aalburg";12204;6151;6053;860;764;3472;2794;1111;352;11789;415;303;112;11;5;24;7;65;96,6;3,4;2,5;0,9;0,1;0;0,2;0,1;0,5;0;0;0;2270;9930
"2009";"Aalburg";12556;6311;6245;895;757;3415;3156;1182;427;12046;510;369;141;11;8;22;10;90;95,9;4,1;2,9;1,1;0,1;0,1;0,2;0,1;0,7;0;0;0;3940;8610
"2014";"Aalburg";12846;6490;6356;930;767;3117;3447;1507;492;12234;612;445;167;11;6;17;21;112;95,2;4,8;3,5;1,3;0,1;0;0,1;0,2;0,9;0;0;0;4080;8770
"2019";"Aalburg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1995";"Aalsmeer";21990;10979;11011;1299;1696;6557;5862;2138;656;;;;;;;;;;;;;;;;;;;;;;;
"1999";"Aalsmeer";22513;11243;11270;1164;1256;6924;6108;2415;692;20115;2398;1601;797;224;33;110;24;406;89,3;10,7;7,1;3,5;1;0,1;0,5;0,1;1,8;;;;;
"2004";"Aalsmeer";22915;11398;11517;1242;1047;6561;6460;2628;841;20240;2675;1739;936;267;40;133;27;469;88,3;11,7;7,6;4,1;1,2;0,2;0,6;0,1;2;0;0;1480;12630;8810
"2009";"Aalsmeer";28006;13920;14086;1603;1253;7969;7533;3153;1033;23926;4080;2513;1567;332;93;323;63;756;85,4;14,6;9;5,6;1,2;0,3;1,2;0,2;2,7;0;0;5030;19620;3350
"2014";"Aalsmeer";30759;15222;15537;1724;1475;7777;8382;4030;1291;25635;5124;3095;2029;394;113;417;96;1009;83,3;16,7;10,1;6,6;1,3;0,4;1,4;0,3;3,3;0;0;10390;17200;3170
"2019";"Aalsmeer";31728;15694;16034;2046;1633;7073;9424;4371;1459;25446;6282;3546;2736;440;130;483;140;1543;80,2;19,8;11,2;8,6;1,4;0,4;1,5;0,4;4,9;0;10;14400;14560;2760
"1995";"Aalten";18469;9222;9247;1144;1256;5390;4257;2194;590;;;;;;;;;;;;;;;;;;;;;;;
"1999";"Aalten";18713;9356;9357;1176;954;5550;4463;2213;635;16870;1843;1229;614;4;6;31;308;265;90,2;9,8;6,6;3,3;0;0;0,2;1,6;1,4;;;;;
"2004";"Aalten";18998;9485;9513;1202;969;5223;4863;2218;721;16938;2060;1300;760;8;3;39;351;359;89,2;10,8;6,8;4;0;0;0,2;1,8;1,9;0;0;4800;7420;6780
"2009";"Aalten";27447;13761;13686;1675;1245;6937;7876;3450;1172;24178;3269;2448;821;10;20;44;354;393;88,1;11,9;8,9;3;0;0,1;0,2;1,3;1,4;0;0;5660;13820;7970
"2014";"Aalten";27013;13504;13509;1609;1253;6033;8048;4016;1305;24037;2976;2248;728;9;17;49;335;318;89;11;8,3;2,7;0;0,1;0,2;1,2;1,2;0;0;6870;12280;7870
"2019";"Aalten";27011;13559;13452;1685;1345;5415;8308;4501;1463;23980;3031;2133;898;17;33;39;313;496;88,8;11,2;7,9;3,3;0,1;0,1;0,1;1,2;1,8;0;910;8540;9690;7890
"1995";"Ter Aar";9297;4734;4563;683;650;2941;2100;622;164;;;;;;;;;;;;;;;;;;;;;;;
