RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;5296749;
Nederland;L528;AantalOngeldigeStemmen;;37833;
Nederland;L528;Kiesgerechtigden;;10485014;
Nederland;L528;Opkomst;;5334582;
Nederland;L528;;PvdA;1785165;9
Nederland;L528;;CDA;1590218;8
Nederland;L528;;VVD;1002685;5
Nederland;L528;;CPN/GNP/PPR/PSP;296488;2
Nederland;L528;;SGP/RPF/GPV;275786;1
Nederland;L528;;Centrumpartij;134877;
Nederland;L528;;D'66;120826;
Nederland;L528;;Europese Groenen;67413;
Nederland;L528;;God Met Ons;23291;
