RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Lijst Leschot
Aalburg;G0738;11084;Noord-Brabant;P30;6524;3578;8;;3570;1415;640;433;144;842;7;10;31;41;7
Aalsmeer;G0358;11264;Noord-Holland;P27;14071;8867;39;;8828;3351;1979;2185;855;93;71;124;77;63;30
Aalten;G0197;11046;Gelderland;P25;11991;7947;32;;7915;5090;1433;761;298;59;11;66;101;80;16
Aardenburg;G0648;11020;Zeeland;P29;2937;1827;13;;1814;868;413;372;84;6;4;27;24;6;10
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3398;1783;10;;1773;945;445;219;113;2;7;9;22;2;9
Abbenbroek;G0481;11026;Zuid-Holland;P28;915;605;4;;601;96;231;188;58;11;4;5;6;1;1
Abcoude;G0305;10712;Utrecht;P26;5222;3708;35;;3673;1364;603;1035;424;51;32;58;61;39;6
Achtkarspelen;G0059;10199;Fryslân;P21;17010;11531;35;;11496;5870;3840;535;386;183;80;70;79;443;10
Adorp;G0001;10996;Groningen;P20;1230;909;5;;904;358;208;147;59;6;2;2;36;85;1
Aduard;G0002;10999;Groningen;P20;1823;1404;2;;1402;484;427;225;74;7;7;23;18;133;4
Akersloot;G0360;10346;Noord-Holland;P27;3236;2091;11;;2080;924;448;385;211;6;13;40;41;6;6
Alblasserdam;G0482;11327;Zuid-Holland;P28;11759;7030;30;;7000;1631;3098;780;563;633;40;83;55;103;14
Alkemade;G0483;10349;Zuid-Holland;P28;8427;5068;23;;5045;2893;675;892;372;17;13;81;72;5;25
Alkmaar;G0361;10527;Noord-Holland;P27;47877;27898;142;;27756;7445;8872;5700;3301;77;667;783;641;139;131
Almelo;G0141;11053;Overijssel;P23;42489;27110;121;;26989;9058;10665;3355;2282;181;541;313;339;192;63
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;33812;19390;111;;19279;7439;4264;3850;2144;521;127;318;375;170;71
Alphen en Riel;G0741;10710;Noord-Brabant;P30;8826;4795;28;;4767;3113;793;428;275;5;14;65;50;;24
Ambt Delden;G0142;11400;Overijssel;P23;3640;2750;8;;2742;2028;315;263;95;2;2;14;20;2;1
Ameide;G0485;11349;Zuid-Holland;P28;1909;1467;11;;1456;647;428;139;64;151;6;5;7;9;
Ameland;G0060;11153;Fryslân;P21;2085;1643;9;;1634;761;448;250;93;6;12;30;17;13;4
Amerongen;G0306;11372;Utrecht;P26;4357;2774;19;;2755;968;671;600;217;198;7;30;37;19;8
Amersfoort;G0307;10948;Utrecht;P26;61889;37674;211;;37463;12747;10016;6424;4548;657;452;571;623;1328;97
Ammerstol;G0486;10863;Zuid-Holland;P28;1115;756;0;;756;46;472;96;80;11;31;12;5;;3
Ammerzoden;G0198;10151;Gelderland;P25;2693;1722;10;;1712;1012;376;187;81;31;5;5;12;3;
Amstelveen;G0362;10799;Noord-Holland;P27;52449;33846;168;;33678;8976;6997;10208;5023;158;431;854;811;124;96
Amstenrade;G0884;10062;Limburg;P31;2452;1484;22;;1462;723;400;139;86;1;16;20;23;4;50
Amsterdam;G0363;11150;Noord-Holland;P27;541124;281329;1711;;279618;45916;110020;41743;33106;1130;28252;11553;6032;868;998
Andijk;G0364;10822;Noord-Holland;P27;3649;2120;6;;2114;974;483;247;176;52;82;33;34;31;2
Angerlo;G0199;11131;Gelderland;P25;2896;1790;4;;1786;844;565;195;119;2;4;10;37;7;3
Anloo;G0105;10787;Drenthe;P22;4794;3003;8;;2995;175;1471;934;267;5;32;58;40;12;1
Anna Paulowna;G0366;10344;Noord-Holland;P27;6781;4091;20;;4071;1307;1062;1143;308;25;53;28;82;49;14
Apeldoorn;G0200;11075;Gelderland;P25;97183;60266;287;;59979;21087;17764;11238;5860;1382;316;789;980;442;121
Appeltern;G0201;11296;Gelderland;P25;2865;1716;19;;1697;1213;307;91;41;3;3;18;12;3;6
Appingedam;G0003;10886;Groningen;P20;9148;5410;26;;5384;1652;2475;594;294;26;92;55;84;105;7
Arcen en Velden;G0885;10202;Limburg;P31;5269;3113;19;;3094;2016;498;337;140;;13;33;34;3;20
Arkel;G0487;10079;Zuid-Holland;P28;2173;1485;8;;1477;298;710;278;118;18;10;17;21;6;1
Arnemuiden;G0649;11419;Zeeland;P29;2444;1200;15;;1185;360;276;118;60;330;4;10;12;12;3
Arnhem;G0202;10795;Gelderland;P25;94199;50035;265;;49770;14982;17548;8194;5258;233;576;1261;1203;324;191
Asperen;G0488;11369;Zuid-Holland;P28;1753;1062;0;;1062;425;243;212;66;74;7;5;18;3;9
Assen;G0106;10522;Drenthe;P22;31757;20362;95;;20267;4676;8090;2992;1956;150;196;343;573;1261;30
Asten;G0743;10478;Noord-Brabant;P30;3780;2273;15;;2258;1441;345;307;113;;2;26;18;;6
Avereest;G0143;11190;Overijssel;P23;9214;6026;21;;6005;3136;1468;807;305;69;14;32;46;109;19
Axel;G0650;11289;Zeeland;P29;8611;4814;29;;4785;1736;1492;649;201;73;16;40;61;495;22
Baarderadeel;G0061;10422;Fryslân;P21;3474;2343;10;;2333;682;909;433;192;4;13;41;52;5;2
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4095;2467;26;;2441;1613;396;287;79;1;3;29;24;7;2
Baarn;G0308;11411;Utrecht;P26;17835;10703;53;;10650;3210;2436;2937;1206;227;72;230;199;99;34
Baexem;G0886;11255;Limburg;P31;1474;867;8;;859;573;118;81;50;;3;10;13;;11
Baflo;G0004;10539;Groningen;P20;2083;1556;7;;1549;696;429;207;77;7;10;20;30;67;6
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;4742;2706;11;;2695;1791;549;177;100;2;12;31;27;2;4
Bangert;G1246;10642;Noord-Holland;P27;5197;3165;14;;3151;1607;576;485;284;5;34;54;77;2;27
Barendrecht;G0489;10943;Zuid-Holland;P28;11469;7501;26;;7475;2736;1546;1464;773;640;29;83;70;116;18
Barneveld;G0203;10906;Gelderland;P25;22950;13271;38;;13233;6673;1453;2014;735;1984;31;42;133;143;25
Barradeel;G0062;10156;Fryslân;P21;4529;3027;17;;3010;1797;782;214;123;11;17;20;14;31;1
Barsingerhorn;G0369;10973;Noord-Holland;P27;2469;1569;9;;1560;175;777;443;89;4;21;17;19;2;13
Batenburg;G0204;10921;Gelderland;P25;411;267;5;;262;163;51;18;15;2;;10;3;;
Bathmen;G0144;11030;Overijssel;P23;3338;2318;7;;2311;594;616;772;268;4;6;19;24;6;2
Bedum;G0005;10425;Groningen;P20;6401;4803;18;;4785;2103;1040;459;356;45;16;57;68;635;6
