RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;CPN/GNP/PPR/PSP;GPV/RPF/SGP;Centrumpartij;Democraten 66 (D66);Europese Groenen;God Met Ons
Aalburg;G0738;11084;Noord-Brabant;P30;6992;3573;17;;3556;613;1121;492;58;1150;50;33;29;10
Aalsmeer;G0358;11264;Noord-Holland;P27;14709;8312;54;;8258;2073;2767;2257;329;329;195;179;105;24
Aalten;G0197;11046;Gelderland;P25;12776;7695;36;;7659;1564;4441;845;241;308;62;102;68;28
Aardenburg;G0648;11020;Zeeland;P29;2652;1519;17;;1502;345;581;408;33;13;27;78;10;7
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3827;1944;17;;1927;503;963;299;60;10;32;29;25;6
Abcoude;G0305;10712;Utrecht;P26;5516;3517;20;;3497;699;1045;1184;170;135;78;132;44;10
Achtkarspelen;G0059;10199;Fryslân;P21;18474;11579;62;;11517;4409;4555;752;293;1227;63;90;102;26
Adorp;G0001;10996;Groningen;P20;1300;886;1;;885;221;293;156;72;114;6;10;9;4
Aduard;G0002;10999;Groningen;P20;1995;1393;6;;1387;452;412;200;62;199;14;31;14;3
Akersloot;G0360;10346;Noord-Holland;P27;3502;2013;19;;1994;491;792;426;108;17;39;69;41;11
Alblasserdam;G0482;11327;Zuid-Holland;P28;12192;6517;45;;6472;2897;1226;812;233;948;137;101;89;29
Alkemade;G0483;10349;Zuid-Holland;P28;9295;5173;39;;5134;970;2551;1040;271;41;87;85;75;14
Alkmaar;G0361;10527;Noord-Holland;P27;59789;28708;238;;28470;11022;6347;5524;2780;523;897;708;556;113
Almelo;G0141;11053;Overijssel;P23;43514;23501;161;;23340;10212;6681;3463;983;637;564;491;242;67
Almere;G0034;10018;Niet-provinciaal ingedeeld;P99;23455;10120;61;;10059;5101;958;1673;1024;119;609;356;193;26
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;37792;19456;166;;19290;5166;5775;5000;942;1171;354;507;297;78
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4072;2220;17;;2203;403;1238;409;62;6;37;31;12;5
Ambt Delden;G0142;11400;Overijssel;P23;3880;2633;14;;2619;279;1827;427;27;;19;23;15;2
Ameide;G0485;11349;Zuid-Holland;P28;2113;1421;5;;1416;404;534;157;23;262;10;21;2;3
Ameland;G0060;11153;Fryslân;P21;2256;1560;7;;1553;485;601;302;54;49;7;38;16;1
Amerongen;G0306;11372;Utrecht;P26;4685;2644;22;;2622;691;817;631;77;272;37;65;28;4
Amersfoort;G0307;10948;Utrecht;P26;63831;33299;260;;33039;9937;9627;6902;1930;2543;700;966;349;85
Ammerstol;G0486;10863;Zuid-Holland;P28;1180;769;11;;758;526;53;85;47;14;8;11;13;1
Ammerzoden;G0198;10151;Gelderland;P25;2886;1507;13;;1494;369;796;167;29;61;27;33;8;4
Amstelveen;G0362;10799;Noord-Holland;P27;53771;30516;212;;30304;7929;6804;10420;2054;537;743;1156;549;112
Amsterdam;G0363;11150;Noord-Holland;P27;510086;222938;1787;;221151;96662;28547;34874;32452;2265;15199;6767;3534;851
Andijk;G0364;10822;Noord-Holland;P27;4000;2181;21;;2160;590;768;308;156;225;35;40;32;6
Angerlo;G0199;11131;Gelderland;P25;3099;1750;11;;1739;621;760;210;43;15;21;38;23;8
Anloo;G0105;10787;Drenthe;P22;5146;3223;18;;3205;1588;193;1056;188;43;31;61;43;2
Anna Paulowna;G0366;10344;Noord-Holland;P27;7187;3877;29;;3848;1059;1126;1170;159;115;59;100;46;14
Apeldoorn;G0200;11075;Gelderland;P25;104721;54298;330;;53968;17846;15086;12568;2061;3231;986;1467;535;188
Appingedam;G0003;10886;Groningen;P20;9437;5265;41;;5224;2787;1233;588;219;199;70;64;41;23
Arcen en Velden;G0885;10202;Limburg;P31;5949;2681;18;;2663;520;1455;437;113;9;28;45;37;19
Arkel;G0487;10079;Zuid-Holland;P28;2355;1446;9;;1437;736;254;290;47;38;22;29;14;7
Arnemuiden;G0649;11419;Zeeland;P29;2799;1178;5;;1173;238;251;174;15;458;15;9;8;5
Arnhem;G0202;10795;Gelderland;P25;97825;46375;327;;46048;18714;10809;8627;3375;1000;1418;1207;638;260
Asperen;G0488;11369;Zuid-Holland;P28;1958;1018;1;;1017;260;322;234;25;126;15;18;7;10
Assen;G0106;10522;Drenthe;P22;34498;19563;112;;19451;8515;3698;3397;1150;1714;227;457;244;49
Asten;G0743;10478;Noord-Brabant;P30;9977;5092;37;;5055;979;2991;659;209;8;52;73;56;28
Avereest;G0143;11190;Overijssel;P23;9942;6119;46;;6073;1629;2623;1022;123;442;65;97;42;30
Axel;G0650;11289;Zeeland;P29;8735;4160;24;;4136;1204;1308;638;101;683;73;66;41;22
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4046;2199;3;;2196;375;1223;413;78;11;35;26;22;13
Baarn;G0308;11411;Utrecht;P26;18426;10186;56;;10130;2626;2604;3297;496;537;160;245;131;34
Baexem;G0886;11255;Limburg;P31;1631;818;5;;813;146;524;99;21;;5;7;5;6
Baflo;G0004;10539;Groningen;P20;2066;1403;4;;1399;450;540;204;60;105;10;22;6;2
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;5313;2858;22;;2836;603;1789;254;76;5;28;47;27;7
Barendrecht;G0489;10943;Zuid-Holland;P28;13329;7584;38;;7546;1682;2332;1771;228;1018;194;199;105;17
Barneveld;G0203;10906;Gelderland;P25;25689;13853;78;;13775;1591;5212;2632;273;3594;176;162;90;45
Barsingerhorn;G0369;10973;Noord-Holland;P27;2781;1540;13;;1527;780;152;417;81;14;30;30;19;4
Bathmen;G0144;11030;Overijssel;P23;3672;2282;12;;2270;681;544;827;74;17;15;85;25;2
Bedum;G0005;10425;Groningen;P20;6822;4622;15;;4607;1188;1749;526;170;840;24;72;35;3
Beegden;G0887;11089;Limburg;P31;1255;539;5;;534;135;239;96;18;;12;20;9;5
Beek;G0888;11374;Limburg;P31;12059;5943;84;;5859;1732;2330;1085;264;29;89;137;94;99
Beek en Donk;G0746;10173;Noord-Brabant;P30;6194;2888;14;;2874;743;1495;302;204;9;41;41;20;19
Beemster;G0370;10816;Noord-Holland;P27;5713;3551;24;;3527;1089;969;1084;171;27;42;105;34;6
Beers;G0747;11410;Noord-Brabant;P30;2106;1282;6;;1276;232;832;119;41;2;15;23;7;5
Beerta;G0006;11043;Groningen;P20;2423;1694;21;;1673;684;67;180;669;15;24;10;22;2
Beesel;G0889;10195;Limburg;P31;8427;3689;58;;3631;1100;1731;454;124;16;67;59;40;40
Beilen;G0107;10520;Drenthe;P22;9962;6361;32;;6329;2720;1872;1116;182;212;55;97;57;18
Belfeld;G0890;10292;Limburg;P31;3480;1662;21;;1641;473;842;197;41;4;30;19;15;20
Bellingwedde;G0007;10340;Groningen;P20;7219;4540;47;;4493;2828;487;592;348;91;62;38;35;12
Bemmel;G0206;10744;Gelderland;P25;10963;5214;37;;5177;1593;2558;621;178;22;45;92;40;28
Bennebroek;G0372;10734;Noord-Holland;P27;4388;2722;27;;2695;427;935;1030;114;45;19;84;31;10
Benschop;G0309;11330;Utrecht;P26;2163;1268;14;;1254;123;555;187;23;320;13;16;12;5
Benthuizen;G0490;10398;Zuid-Holland;P28;2198;1242;11;;1231;263;251;298;26;324;18;40;10;1
Bergambacht;G0491;10962;Zuid-Holland;P28;3905;2442;36;;2406;727;520;528;48;456;58;46;19;4
Bergen;G0373;11424;Noord-Holland;P27;10560;6379;35;;6344;1622;1548;2157;429;50;172;200;142;24
Bergen;G0893;11281;Limburg;P31;9342;4446;54;;4392;1155;2356;552;137;14;54;66;33;25
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;32784;16112;142;;15970;5338;4899;3815;675;132;587;335;141;48
Bergeyk;G0749;11160;Noord-Brabant;P30;6792;3418;26;;3392;761;1853;482;116;18;47;58;34;23
Bergh;G0207;10350;Gelderland;P25;12758;6376;53;;6323;1783;3126;890;203;39;94;85;50;53
Berghem;G0750;10733;Noord-Brabant;P30;3887;1725;12;;1713;712;662;187;55;7;27;37;19;7
Bergschenhoek;G0492;10445;Zuid-Holland;P28;4969;2886;6;;2880;593;1106;641;64;250;109;60;42;15
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;10505;6334;39;;6295;949;2502;1546;170;708;150;174;79;17
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;6852;4155;18;;4137;766;1993;982;179;14;50;104;42;7
Berkenwoude;G0494;10797;Zuid-Holland;P28;1016;674;3;;671;156;113;215;16;129;6;23;12;1
Berlicum;G0752;10362;Noord-Brabant;P30;5891;3063;13;;3050;879;1452;468;105;13;30;48;35;20
Bernisse;G0568;10316;Zuid-Holland;P28;8763;4625;30;;4595;1557;1115;1222;155;209;132;130;60;15
