RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Regenboog;Democraten 66 (D66);SGP_GPV_RPF;Centrumdemocraten;SP (Socialistische Partij);Initiatief voor Europese Democratie;God Met Ons
Aalburg;G0738;11084;Noord-Brabant;P30;7604;4150;31;;4119;1430;628;292;71;94;1572;14;3;11;4
Aalsmeer;G0358;11264;Noord-Holland;P27;16866;8065;47;;8018;3262;1679;1793;392;441;309;59;12;57;14
Aalten;G0197;11046;Gelderland;P25;13482;7895;31;;7864;4685;1670;562;343;219;312;28;5;24;16
Aardenburg;G0648;11020;Zeeland;P29;2696;1456;12;;1444;580;395;312;39;64;21;16;4;8;5
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;4158;2140;20;;2120;1121;505;234;87;103;17;14;13;14;12
Abcoude;G0305;10712;Utrecht;P26;5856;3479;0;;3479;1270;589;880;236;275;150;27;6;29;17
Achtkarspelen;G0059;10199;Fryslân;P21;19761;11715;72;;11643;4876;4210;546;394;251;1309;22;9;14;12
Adorp;G0001;10996;Groningen;P20;1332;859;2;;857;320;209;86;86;28;125;1;0;2;0
Aduard;G0002;10999;Groningen;P20;2121;1294;1;;1293;423;416;114;75;46;210;5;1;3;0
Akersloot;G0360;10346;Noord-Holland;P27;3816;1915;4;;1911;860;388;323;108;177;17;9;8;10;11
Alblasserdam;G0482;11327;Zuid-Holland;P28;12887;6780;30;;6750;1491;2670;595;242;341;1306;59;14;19;13
Albrandswaard;G0613;10124;Zuid-Holland;P28;10900;5447;25;;5422;1934;1340;1117;231;367;336;52;15;15;15
Alkemade;G0483;10349;Zuid-Holland;P28;10110;4844;12;;4832;2705;790;711;289;229;33;33;8;22;12
Alkmaar;G0361;10527;Noord-Holland;P27;64262;26884;159;;26725;7105;9644;3754;2973;1929;549;231;284;125;131
Almelo;G0141;11053;Overijssel;P23;44401;22369;134;;22235;7607;9053;2437;1002;1129;650;143;74;50;90
Almere;G0034;10018;Flevoland;P24;44942;17603;82;;17521;2572;7499;3095;1769;1638;299;406;99;104;40
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;42787;20135;110;;20025;6977;4417;3793;1299;1472;1414;144;368;84;57
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4527;2259;11;;2248;1352;404;272;70;102;5;14;5;12;12
Ambt Delden;G0142;11400;Overijssel;P23;4037;2704;17;;2687;1982;313;273;44;46;4;1;5;4;15
Ameland;G0060;11153;Fryslân;P21;2370;1662;13;;1649;748;483;207;84;83;30;9;0;1;4
Amerongen;G0306;11372;Utrecht;P26;5017;2757;9;;2748;977;617;441;118;135;427;16;5;10;2
Amersfoort;G0307;10948;Utrecht;P26;72863;33926;114;;33812;10611;9124;4780;3420;2235;3087;227;112;148;68
Ammerzoden;G0198;10151;Gelderland;P25;3108;1535;10;;1525;849;421;113;26;49;54;6;0;2;5
Amstelveen;G0362;10799;Noord-Holland;P27;54945;27917;140;;27777;7736;6596;7462;2284;2548;568;264;44;193;82
Amsterdam;G0363;11150;Noord-Holland;P27;512046;203550;1344;;202206;29184;82540;25079;38870;15950;2433;4687;1391;1526;546
Andijk;G0364;10822;Noord-Holland;P27;4196;2138;13;;2125;880;541;216;122;90;241;13;4;15;3
Angerlo;G0199;11131;Gelderland;P25;3262;1760;12;;1748;848;569;156;67;88;6;9;3;2;0
Anloo;G0105;10787;Drenthe;P22;5684;3225;16;;3209;332;1550;806;219;226;52;5;9;7;3
Anna Paulowna;G0366;10344;Noord-Holland;P27;7579;3389;19;;3370;1296;824;764;136;196;98;22;5;9;20
Apeldoorn;G0200;11075;Gelderland;P25;110344;52510;290;;52220;17414;14835;8358;2983;3848;3811;326;120;405;120
Appingedam;G0003;10886;Groningen;P20;9615;4843;26;;4817;1277;2438;393;247;196;208;17;22;11;8
Arcen en Velden;G0885;10202;Limburg;P31;6382;3103;16;;3087;1929;537;289;134;119;23;8;20;9;19
Arnemuiden;G0649;11419;Zeeland;P29;3150;1382;9;;1373;337;219;133;30;42;601;3;1;3;4
Arnhem;G0202;10795;Gelderland;P25;99429;43053;280;;42773;11279;15263;5755;4769;3294;1074;360;570;233;176
Assen;G0106;10522;Drenthe;P22;37174;20297;132;;20165;4311;8491;2566;1483;1157;1866;81;127;58;25
Asten;G0743;10478;Noord-Brabant;P30;10876;5458;33;;5425;3421;1018;432;250;193;11;16;25;19;40
Avereest;G0143;11190;Overijssel;P23;10585;6005;28;;5977;2785;1607;698;177;221;437;21;5;14;12
Axel;G0650;11289;Zeeland;P29;9054;3829;34;;3795;1255;1103;438;111;161;680;20;10;9;8
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4256;2082;11;;2071;1238;385;261;71;71;14;15;0;6;10
Baarn;G0308;11411;Utrecht;P26;18915;9807;43;;9764;2979;2358;2326;633;677;590;101;24;52;24
Baexem;G0886;11255;Limburg;P31;1826;928;5;;923;636;143;76;13;44;4;3;1;3;0
Baflo;G0004;10539;Groningen;P20;2122;1329;5;;1324;458;401;155;129;66;107;1;4;2;1
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;5571;2675;14;;2661;1846;446;182;78;78;1;7;4;6;13
Barendrecht;G0489;10943;Zuid-Holland;P28;14723;8247;25;;8222;3105;1495;1281;403;555;1247;70;19;38;9
Barneveld;G0203;10906;Gelderland;P25;29064;16398;85;;16313;6929;1542;1784;391;473;5052;54;26;28;34
Barsingerhorn;G0369;10973;Noord-Holland;P27;2961;1308;11;;1297;180;632;315;81;60;6;12;3;6;2
Bathmen;G0144;11030;Overijssel;P23;3935;2355;15;;2340;662;602;726;99;212;24;4;1;8;2
Bedum;G0005;10425;Groningen;P20;7113;4591;13;;4578;1822;1155;321;213;185;861;5;5;6;5
Beegden;G0887;11089;Limburg;P31;1356;678;3;;675;371;207;43;21;27;0;5;0;0;1
Beek;G0888;11374;Limburg;P31;13100;6244;63;;6181;3027;1692;655;318;330;33;30;18;15;63
Beek en Donk;G0746;10173;Noord-Brabant;P30;6832;3117;15;;3102;1632;872;207;207;117;7;10;23;11;16
Beemster;G0370;10816;Noord-Holland;P27;5921;3109;17;;3092;959;893;821;191;165;30;9;4;14;6
Beers;G0747;11410;Noord-Brabant;P30;2320;1376;5;;1371;874;274;111;43;56;0;1;3;4;5
Beerta;G0006;11043;Groningen;P20;2382;1512;13;;1499;55;833;128;427;23;11;5;10;7;0
Beesel;G0889;10195;Limburg;P31;9289;3962;22;;3940;2081;1111;330;156;161;14;28;14;14;31
Beilen;G0107;10520;Drenthe;P22;10689;6560;36;;6524;1975;2769;874;287;266;289;15;23;11;15
Belfeld;G0890;10292;Limburg;P31;3861;1769;6;;1763;992;472;140;68;66;4;7;8;0;6
Bellingwedde;G0007;10340;Groningen;P20;7498;4275;29;;4246;521;2784;383;287;126;109;21;6;4;5
Bemmel;G0206;10744;Gelderland;P25;11857;4985;27;;4958;2511;1511;452;141;276;19;10;10;12;16
Bennebroek;G0372;10734;Noord-Holland;P27;4529;2485;27;;2458;993;385;654;173;163;47;14;3;13;13
Benthuizen;G0490;10398;Zuid-Holland;P28;2473;1493;3;;1490;361;221;231;74;77;500;8;2;13;3
Bergambacht;G0491;10962;Zuid-Holland;P28;6658;4033;18;;4015;957;1225;675;128;178;806;23;9;12;2
Bergen;G0373;11424;Noord-Holland;P27;10745;5663;33;;5630;1644;1415;1431;543;436;62;37;16;30;16
Bergen;G0893;11281;Limburg;P31;9778;4784;28;;4756;2844;1226;312;115;179;12;21;11;7;29
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;33789;12972;85;;12887;5078;3703;2066;640;857;137;208;99;66;33
Bergeyk;G0749;11160;Noord-Brabant;P30;7353;3829;15;;3814;2267;793;357;159;132;14;28;10;8;46
Bergh;G0207;10350;Gelderland;P25;13610;6620;60;;6560;3373;2046;601;153;228;55;30;6;30;38
Berghem;G0750;10733;Noord-Brabant;P30;4182;1852;20;;1832;800;632;125;43;80;5;11;115;7;14
Bergschenhoek;G0492;10445;Zuid-Holland;P28;5594;3021;11;;3010;1452;460;550;135;150;216;25;5;5;12
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;11328;6679;25;;6654;3135;855;1028;281;473;788;36;15;24;19
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;7736;4220;19;;4201;2261;721;689;178;274;33;14;3;17;11
