RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GPV/RPF/SGP;GROENLINKS;De Groenen;SP (Socialistische Partij);Centrumdemocraten;Een Betere Toekomst;Lijst de Groen
Aalburg;G0738;11084;Noord-Brabant;P30;7973;3431;10;;3421;915;309;400;157;1534;26;28;13;32;7;
Aalsmeer;G0358;11264;Noord-Holland;P27;17125;6340;10;;6330;1954;1280;1650;702;367;159;116;20;60;15;7
Aalten;G0197;11046;Gelderland;P25;13872;6510;19;;6491;3668;988;694;475;349;111;130;25;16;15;20
Aardenburg;G0648;11020;Zeeland;P29;2954;1198;11;;1187;375;214;305;180;16;26;54;4;9;2;2
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;4489;1706;10;;1696;831;334;258;179;5;25;21;18;13;4;8
Abcoude;G0305;10712;Utrecht;P26;6098;2972;7;;2965;878;516;822;357;147;86;106;13;29;4;7
Achtkarspelen;G0059;10199;Fryslân;P21;20679;7801;7;;7794;3402;1855;499;349;1332;86;194;27;37;8;5
Akersloot;G0360;10346;Noord-Holland;P27;3699;1336;4;;1332;451;288;320;160;24;25;35;8;11;4;6
Alblasserdam;G0482;11327;Zuid-Holland;P28;13265;5125;14;;5111;1062;1424;624;443;1323;72;38;32;67;20;6
Albrandswaard;G0613;10124;Zuid-Holland;P28;11739;4399;12;;4387;1339;743;1276;442;307;93;83;31;41;22;10
Alkemade;G0483;10349;Zuid-Holland;P28;10629;3873;15;;3858;1439;577;1158;327;56;106;113;22;40;15;5
Alkmaar;G0361;10527;Noord-Holland;P27;67168;22927;48;;22879;5221;7026;3810;3039;634;1447;700;639;254;65;44
Almelo;G0141;11053;Overijssel;P23;47066;15590;50;;15540;5243;4395;2252;1747;699;415;298;183;138;36;134
Almere;G0034;10018;Flevoland;P24;68826;20328;81;;20247;2737;5985;5010;3793;526;991;427;291;360;82;45
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;48564;17194;32;;17162;4464;3093;4132;2408;1593;496;289;495;134;39;19
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4717;1734;4;;1730;964;219;279;178;13;20;33;6;7;9;2
Ambt Delden;G0142;11400;Overijssel;P23;4001;2014;3;;2011;1365;171;310;80;10;8;42;6;12;;7
Ambt Montfort;G1679;10456;Limburg;P31;8764;3388;11;;3377;1873;527;379;373;18;90;25;16;58;9;9
Ameland;G0060;11153;Fryslân;P21;2559;1415;3;;1412;635;343;228;123;15;25;30;5;7;;1
Amerongen;G0306;11372;Utrecht;P26;5449;2241;3;;2238;655;317;500;222;439;54;31;6;8;2;4
Amersfoort;G0307;10948;Utrecht;P26;82524;30022;46;;29976;7362;6763;5300;3962;3416;1564;959;242;271;61;76
Ammerzoden;G0198;10151;Gelderland;P25;3350;1179;1;;1178;614;199;136;115;64;8;14;12;8;8;
Amstelveen;G0362;10799;Noord-Holland;P27;58399;24102;44;;24058;5429;5386;7085;3505;540;1021;649;132;199;65;47
Amsterdam;G0363;11150;Noord-Holland;P27;528312;153387;966;;152421;18796;57349;24808;20488;2099;15789;6088;2951;3244;538;271
Andijk;G0364;10822;Noord-Holland;P27;4535;1773;3;;1770;701;329;254;116;254;65;32;6;7;4;2
Angerlo;G0199;11131;Gelderland;P25;3512;1319;3;;1316;560;361;179;152;18;20;16;6;3;1;
Anloo;G0105;10787;Drenthe;P22;6174;2570;5;;2565;256;916;753;345;55;84;126;15;8;6;1
Anna Paulowna;G0366;10344;Noord-Holland;P27;9477;3279;8;;3271;899;741;1015;311;97;63;81;9;39;15;1
Apeldoorn;G0200;11075;Gelderland;P25;113941;41130;97;;41033;11887;9073;7941;5271;3857;1270;1022;281;249;100;82
Appingedam;G0003;10886;Groningen;P20;9696;3142;3;;3139;930;1098;357;358;186;63;73;48;15;6;5
Arcen en Velden;G0885;10202;Limburg;P31;6785;2612;5;;2607;1522;366;332;239;11;58;40;11;15;10;3
Arnemuiden;G0649;11419;Zeeland;P29;3417;1288;3;;1285;192;123;150;68;708;11;15;1;13;1;3
Arnhem;G0202;10795;Gelderland;P25;102916;33060;139;;32921;7628;9598;5534;4672;1219;2208;939;687;288;100;48
Assen;G0106;10522;Drenthe;P22;39615;16642;32;;16610;3473;5214;2538;1892;2057;639;448;213;77;43;16
Asten;G0743;10478;Noord-Brabant;P30;11763;4523;11;;4512;2438;699;617;483;16;123;60;31;28;12;5
Avereest;G0143;11190;Overijssel;P23;11000;4423;12;;4411;1981;828;644;312;491;41;59;18;18;10;9
Axel;G0650;11289;Zeeland;P29;9508;3115;12;;3103;863;471;386;514;629;45;96;29;56;11;3
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4439;1700;0;;1700;899;237;277;172;12;39;30;11;16;6;1
Baarn;G0308;11411;Utrecht;P26;18890;8133;9;;8124;1988;1555;2333;1009;624;232;194;69;90;17;13
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;5768;2011;12;;1999;1190;246;212;247;10;33;28;9;18;4;2
Barendrecht;G0489;10943;Zuid-Holland;P28;16057;6877;19;;6858;1935;1103;1360;822;1264;107;134;27;73;28;5
Barneveld;G0203;10906;Gelderland;P25;31101;15020;23;;14997;4754;1096;1948;766;6019;113;140;43;77;14;27
Bathmen;G0144;11030;Overijssel;P23;3997;1915;1;;1914;484;444;642;250;18;27;35;4;7;2;1
Bedum;G0005;10425;Groningen;P20;7593;3873;4;;3869;1422;759;342;318;810;66;125;14;7;2;4
Beek;G0888;11374;Limburg;P31;13345;5180;31;;5149;2364;838;810;671;30;272;46;42;54;13;9
Beek en Donk;G0746;10173;Noord-Brabant;P30;7228;2409;12;;2397;1248;428;248;270;15;105;20;29;23;9;2
Beemster;G0370;10816;Noord-Holland;P27;6128;2636;8;;2628;666;690;793;268;40;68;67;12;19;4;1
Beesel;G0889;10195;Limburg;P31;9899;3555;15;;3540;1825;602;412;348;23;110;29;15;156;15;5
Beilen;G0107;10520;Drenthe;P22;11258;4668;10;;4658;1489;1452;825;346;289;68;143;25;13;4;4
Belfeld;G0890;10292;Limburg;P31;3994;1295;0;;1295;685;226;180;139;3;24;9;2;24;3;
Bellingwedde;G0007;10340;Groningen;P20;7574;2747;10;;2737;396;1362;415;208;117;96;94;26;14;6;3
Bemmel;G0206;10744;Gelderland;P25;12419;3987;16;;3971;1762;824;601;539;30;88;71;14;22;13;7
Bennebroek;G0372;10734;Noord-Holland;P27;4304;2093;9;;2084;701;303;682;214;50;57;56;7;10;2;2
Bergambacht;G0491;10962;Zuid-Holland;P28;6959;3438;1;;3437;644;821;711;265;853;30;31;25;48;7;2
Bergen;G0373;11424;Noord-Holland;P27;11367;5070;9;;5061;1274;1084;1496;657;45;210;216;24;40;4;11
Bergen;G0893;11281;Limburg;P31;10081;3202;15;;3187;1807;582;380;271;14;49;32;19;23;10;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;34610;9886;20;;9866;3496;1958;2078;1253;128;332;187;149;229;37;19
Bergeyk;G0749;11160;Noord-Brabant;P30;8108;3064;9;;3055;1544;547;458;298;19;65;51;22;25;15;11
Bergh;G0207;10350;Gelderland;P25;14190;4692;14;;4678;2403;965;653;388;46;67;76;22;36;11;11
Bergschenhoek;G0492;10445;Zuid-Holland;P28;6113;2602;4;;2598;935;309;674;267;279;46;30;4;37;14;3
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;11472;5282;5;;5277;1891;582;1076;665;810;87;99;24;30;10;3
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;7987;3253;23;;3230;1357;448;717;471;54;66;66;25;13;10;3
Berlicum;G0752;10362;Noord-Brabant;P30;6657;2410;5;;2405;1128;506;349;251;9;42;37;55;12;6;10
