RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;SGP_GPV_RPF;Democraten 66 (D66);SP (Socialistische Partij);De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala
Aa en Hunze;G1680;10787;Drenthe;P22;19266;6659;;9;6650;995;2236;1889;724;150;353;200;55;16;14;18
Aalburg;G0738;11084;Noord-Brabant;P30;8428;3173;;13;3160;813;248;360;76;1510;52;64;17;11;5;4
Aalsmeer;G0358;11264;Noord-Holland;P27;17321;5142;;15;5127;1318;920;1475;458;397;325;132;33;23;25;21
Aalten;G0197;11046;Gelderland;P25;13872;5634;;23;5611;3122;779;556;418;393;147;145;20;15;12;4
Abcoude;G0305;10712;Utrecht;P26;6275;2726;;23;2703;606;428;805;330;135;257;74;8;6;18;36
Achtkarspelen;G0059;10199;Fryslân;P21;21138;7465;;29;7436;3298;1557;573;444;1151;102;245;24;32;5;5
Akersloot;G0360;10346;Noord-Holland;P27;3629;993;;6;987;264;187;266;107;30;66;36;8;7;11;5
Alblasserdam;G0482;11327;Zuid-Holland;P28;13259;4271;;6;4265;816;1053;508;229;1349;124;137;23;16;6;4
Albrandswaard;G0613;10124;Zuid-Holland;P28;12204;3616;;12;3604;937;656;975;300;298;218;139;37;16;18;10
Alkemade;G0483;10349;Zuid-Holland;P28;10755;3149;;9;3140;1146;395;977;301;35;117;123;13;17;5;11
Alkmaar;G0361;10527;Noord-Holland;P27;68931;18122;;60;18062;3174;4700;3267;3290;444;1118;1724;140;95;60;50
Almelo;G0141;11053;Overijssel;P23;48823;12516;;52;12464;3606;3311;2162;1361;623;571;679;70;39;26;16
Almere;G0034;10018;Flevoland;P24;94600;22587;;111;22476;2487;5832;6215;3537;803;1819;1135;248;129;127;144
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;51342;14756;;47;14709;3320;2531;3522;1641;1537;963;861;107;90;81;56
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7122;2340;;7;2333;1126;301;530;184;10;82;71;9;16;2;2
Ambt Delden;G0142;11400;Overijssel;P23;4012;1653;;11;1642;1140;106;258;50;6;33;26;6;5;12;0
Ambt Montfort;G1679;10456;Limburg;P31;8656;2675;;30;2645;1577;353;298;196;9;68;93;16;16;18;1
