RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;Europa Transparant;SP (Socialistische Partij);CU_SGP;Democraten 66 (D66);Partij voor de Dieren;Lijst Pim Fortuyn;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu
Aa en Hunze;G1680;10787;Drenthe;P22;19574;9310;;9;9301;1218;3458;1976;598;466;454;124;336;243;129;267;14;5;7;6
Aalburg;G0738;11084;Noord-Brabant;P30;8821;3945;;2;3943;1178;395;324;62;246;117;1367;46;101;78;0;16;4;5;4
Aalsmeer;G0358;11264;Noord-Holland;P27;17366;6957;;32;6925;1888;1253;1268;408;463;296;319;335;272;365;6;24;11;13;4
Aalten;G0197;11046;Gelderland;P25;13975;6594;;8;6586;2989;1116;529;283;380;503;330;155;150;108;6;7;12;11;7
Abcoude;G0305;10712;Utrecht;P26;6227;3235;;5;3230;762;535;660;287;305;133;97;211;135;80;4;7;3;10;1
Achtkarspelen;G0059;10199;Fryslân;P21;21444;8333;;13;8320;3116;2287;418;252;344;326;947;106;124;104;257;25;10;3;1
Alblasserdam;G0482;11327;Zuid-Holland;P28;13430;5777;;11;5766;1135;1505;484;165;324;315;1405;97;159;140;5;17;9;6;0
Albrandswaard;G0613;10124;Zuid-Holland;P28;14979;5852;;13;5839;1245;1187;1045;223;565;345;275;242;234;403;10;28;27;7;3
Alkemade;G0483;10349;Zuid-Holland;P28;10868;4383;;7;4376;1535;714;843;242;278;247;22;153;121;158;1;27;14;6;15
Alkmaar;G0361;10527;Noord-Holland;P27;70483;26528;;55;26473;3993;8284;2970;2791;2191;2621;458;1134;1077;682;42;88;59;49;34
Almelo;G0141;11053;Overijssel;P23;53222;19059;;37;19022;4842;5929;2311;1054;1264;1281;705;565;469;485;16;37;31;14;19
Almere;G0034;10018;Flevoland;P24;117875;38093;;94;37999;3867;11355;6537;3273;2670;3172;1041;2351;1728;1517;47;178;124;73;66
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;52193;20496;;58;20438;4476;4186;3168;1470;1522;1584;1370;1059;736;638;16;109;36;44;24
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7175;2933;;4;2929;1144;384;418;119;409;175;6;87;83;84;1;12;4;2;1
Ambt Montfort;G1679;10456;Limburg;P31;8655;3136;;7;3129;1727;513;222;116;170;157;9;66;61;58;1;8;5;12;4
Ameland;G0060;11153;Fryslân;P21;2673;1536;;0;1536;481;405;243;77;95;70;24;36;37;31;25;5;3;4;0
Amerongen;G0306;11372;Utrecht;P26;5450;2429;;11;2418;669;353;355;117;213;106;347;94;102;47;0;4;6;2;3
Amersfoort;G0307;10948;Utrecht;P26;96523;41616;;124;41492;7569;9326;5478;4864;2876;3044;3453;2296;1440;858;27;94;70;71;26
Amstelveen;G0362;10799;Noord-Holland;P27;58006;26442;;52;26390;4541;5760;5307;2466;2407;1425;460;1792;1333;637;31;83;54;66;28
Amsterdam;G0363;11150;Noord-Holland;P27;528900;191197;;1185;190012;14665;53743;21347;33876;13768;19241;1782;13030;12295;4531;185;522;351;481;195
Andijk;G0364;10822;Noord-Holland;P27;4776;2037;;1;2036;611;371;276;92;174;143;191;45;46;76;0;2;4;1;4
Angerlo;G0199;11131;Gelderland;P25;3867;1479;;0;1479;494;394;198;62;79;114;3;45;44;39;1;4;1;1;0
Anna Paulowna;G0366;10344;Noord-Holland;P27;10306;3890;;6;3884;955;832;796;150;438;179;87;142;113;146;8;16;10;3;9
Apeldoorn;G0200;11075;Gelderland;P25;119128;47752;;73;47679;10614;12298;6621;3311;3146;2653;3943;2097;1602;1033;41;114;77;91;38
Appingedam;G0003;10886;Groningen;P20;9855;3684;;1;3683;767;1433;304;144;162;232;169;76;82;71;228;8;2;4;1
