RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;PVV (Partij voor de Vrijheid);Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Socialistische Partij (SOPA);CU_SGP;Partij voor de Dieren;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;De Groenen;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek
Aa en Hunze;G1680;10787;Assen;K3;20009;8038;11;6;8021;1096;993;1843;1408;871;717;537;147;286;48;29;11;12;9;4;6;4
Aalburg;G0738;11084;Tilburg;K17;9198;3685;5;2;3678;843;559;145;226;102;87;100;1501;71;18;4;11;6;3;2;0;0
Aalsmeer;G0358;11264;Haarlem;K10;20907;8176;11;12;8153;1645;1785;748;1320;868;487;381;483;300;38;20;18;26;12;10;8;4
Aalten;G0197;11046;Arnhem;K7;20780;7879;14;8;7857;3290;920;820;641;415;410;625;454;179;31;19;19;11;15;4;2;2
Abcoude;G0305;10712;Utrecht;K8;6251;3429;6;6;3417;628;500;276;622;597;372;136;115;114;11;14;8;12;8;2;1;1
Achtkarspelen;G0059;10199;Leeuwarden;K2;21538;6750;7;10;6733;2389;859;1018;357;256;269;381;1022;112;25;19;10;3;4;1;5;3
Alblasserdam;G0482;11327;Dordrecht;K14;13932;5641;11;4;5626;969;871;737;422;275;220;275;1646;139;11;21;15;5;7;5;6;2
Albrandswaard;G0613;10124;Dordrecht;K14;17559;6671;13;8;6650;1131;1740;665;916;726;368;357;368;268;26;19;20;19;5;7;8;7
Alkmaar;G0361;10527;Den Helder;K11;71458;24588;31;41;24516;3001;3981;3767;2468;3009;3339;2555;547;1209;155;153;92;63;70;52;37;18
Almelo;G0141;11053;Zwolle;K4;53821;15698;30;29;15639;3330;2920;2406;1667;1590;1075;1182;779;407;64;39;50;37;32;42;15;4
Almere;G0034;10018;Lelystad;K5;130857;40296;113;65;40118;3232;10889;5111;4851;4838;3642;3268;1224;2084;233;217;165;100;85;100;50;29
Alphen aan den Rijn;G0484;10517;Leiden;K15;54394;20319;53;36;20230;3767;3567;2041;2642;2444;1654;1536;1495;677;116;93;62;68;22;14;22;10
Alphen-Chaam;G1723;10710;Tilburg;K17;7249;2855;0;5;2850;1134;541;182;349;232;163;133;18;47;18;8;10;3;5;2;2;3
Ameland;G0060;11153;Leeuwarden;K2;2637;1284;2;0;1282;398;187;222;172;87;73;72;25;27;9;2;2;0;5;0;1;0
Amersfoort;G0307;10948;Utrecht;K8;104457;43101;67;92;42942;6113;5702;5305;4561;6518;5430;2900;4066;1446;172;234;151;124;84;78;30;28
Amstelveen;G0362;10799;Haarlem;K10;57014;26163;53;56;26054;3373;4430;3048;4293;4455;2781;1404;561;1091;121;160;111;88;51;21;33;33
Amsterdam;G0363;11150;Amsterdam;K9;545004;201725;748;479;200498;9748;25607;29369;18441;42616;40127;16071;2199;10672;782;1581;663;625;821;792;287;97
Andijk;G0364;10822;Den Helder;K11;4919;1914;3;1;1910;445;360;194;224;111;108;138;223;77;10;5;10;2;1;1;1;0
Anna Paulowna;G0366;10344;Den Helder;K11;10692;3572;1;8;3563;778;743;374;688;264;218;212;97;108;23;16;15;7;8;3;6;3
Apeldoorn;G0200;11075;Arnhem;K7;120353;44526;74;80;44372;8275;6694;5556;5335;4991;3576;2916;4512;1725;192;183;117;85;73;68;50;24
Appingedam;G0003;10886;Groningen;K1;9587;2874;6;2;2866;595;462;639;231;211;133;262;205;90;12;2;8;2;5;1;7;1
Arcen en Velden;G0885;10202;Maastricht;K19;6694;2577;2;14;2561;1030;635;187;202;162;114;122;20;51;13;7;8;1;6;1;1;1
Arnhem;G0202;10795;Arnhem;K7;110898;35785;71;68;35646;4259;5013;4902;3364;5721;5532;3398;1059;1534;153;217;131;99;127;81;39;17
Assen;G0106;10522;Assen;K3;50110;18797;32;34;18731;3127;2086;3488;1812;1799;1794;1573;2167;606;65;58;39;31;32;31;10;13
Asten;G0743;10478;'s-Hertogenbosch;K18;12390;5316;4;7;5305;1195;648;281;2302;200;233;273;16;87;13;12;6;9;10;15;4;1
Baarle-Nassau;G0744;10060;Tilburg;K17;5299;1885;0;1;1884;761;383;118;151;137;77;148;1;56;15;9;12;8;5;2;1;0
Baarn;G0308;11411;Utrecht;K8;18818;8306;18;18;8270;1342;1357;837;1448;1147;787;436;493;280;34;28;36;20;9;7;3;6
Barendrecht;G0489;10943;Dordrecht;K14;33755;12691;28;20;12643;2304;2821;1146;1563;1200;728;624;1587;442;57;48;42;33;9;25;10;4
Barneveld;G0203;10906;Arnhem;K7;37288;17202;24;23;17155;4196;2454;633;1314;596;396;353;6800;206;80;32;27;30;8;16;12;2
Bedum;G0005;10425;Groningen;K1;8025;3655;1;9;3645;1038;276;576;255;230;302;237;626;81;11;3;2;2;2;1;3;0
Beek;G0888;11374;Maastricht;K19;13158;4980;5;8;4967;1586;1358;464;417;344;253;308;33;130;17;23;11;11;5;4;3;0
Beemster;G0370;10816;Den Helder;K11;6622;2990;5;3;2982;559;611;388;514;292;208;195;31;124;16;6;13;11;4;2;3;5
Beesel;G0889;10195;Maastricht;K19;10669;3328;1;2;3325;1093;985;312;240;168;181;199;18;84;9;14;11;3;2;0;5;1
