RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Democraten 66 (D66);CDA;PVV (Partij voor de Vrijheid);VVD;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie-SGP;GROENLINKS;Partij voor de Dieren;50PLUS;Piratenpartij;Artikel50;Anti  EU(ro)  Partij;De Groenen;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij
Aa en Hunze;G1680;10787;Assen;K3;20275;8535;10;27;8498;1288;876;702;1483;906;1459;214;626;454;358;24;38;20;20;5;11;6;6;2
Aalburg;G0738;11084;Tilburg;K17;9587;4258;13;8;4237;173;690;599;305;197;145;1855;46;67;91;10;16;12;2;20;3;3;3;0
Aalsmeer;G0358;11264;Haarlem;K10;22495;8572;14;32;8526;1265;1435;1171;1767;479;631;548;326;349;330;71;64;31;19;19;7;5;6;3
Aalten;G0197;11046;Arnhem;K7;20835;7726;13;19;7694;711;2622;649;729;867;571;568;337;260;265;26;29;15;16;6;11;10;2;0
Achtkarspelen;G0059;10199;Leeuwarden;K2;21483;7274;10;21;7243;364;1979;964;461;641;874;1281;179;140;227;32;31;19;8;33;4;2;3;1
Alblasserdam;G0482;11327;Dordrecht;K14;14721;6213;9;6;6198;487;756;827;456;506;559;2005;134;179;158;28;28;18;2;47;2;1;1;4
Albrandswaard;G0613;10124;Dordrecht;K14;18897;7136;18;19;7099;1007;914;1438;1211;540;527;478;233;350;235;38;45;37;4;15;7;10;7;3
Alkmaar;G0361;10527;Den Helder;K11;73020;29297;67;132;29098;5256;2584;3398;2987;3307;3657;667;2963;1972;1343;396;193;90;100;48;60;41;29;7
Almelo;G0141;11053;Zwolle;K4;54230;16641;59;41;16541;2157;3583;2509;1503;1890;1736;943;762;537;562;111;63;50;25;36;28;21;21;4
Almere;G0034;10018;Lelystad;K5;140571;42849;153;171;42525;7421;2787;8108;5276;4645;4419;1419;2706;2625;1504;610;391;189;105;121;74;58;40;27
Alphen aan den Rijn;G0484;10517;Leiden;K15;80990;32697;73;149;32475;5048;5364;4215;4497;2518;2508;3255;1879;1263;1118;270;197;90;37;99;49;39;20;9
Alphen-Chaam;G1723;10710;Tilburg;K17;7608;3016;4;11;3001;395;857;353;520;226;167;17;126;94;186;21;9;7;6;6;5;5;1;0
Ameland;G0060;11153;Leeuwarden;K2;2741;1417;2;8;1407;129;377;160;227;77;212;41;68;64;26;6;6;11;2;0;0;1;0;0
Amersfoort;G0307;10948;Utrecht;K8;110844;46322;85;175;46062;9605;4839;4337;5296;4083;4328;4974;4549;2003;892;433;232;87;111;102;75;55;42;19
Amstelveen;G0362;10799;Haarlem;K10;59318;25826;58;99;25669;5688;2484;2655;4640;1800;2546;673;2088;1325;1103;234;165;79;66;35;28;38;11;11
Amsterdam;G0363;11150;Amsterdam;K9;581485;207313;860;816;205637;51510;8476;16415;19657;19555;29626;2772;33772;12741;3521;3863;1126;372;1155;238;322;306;140;70
Apeldoorn;G0200;11075;Arnhem;K7;122999;46272;83;118;46071;7464;6252;4849;5697;3982;4393;5703;3032;2175;1498;290;240;139;97;104;53;66;28;9
Appingedam;G0003;10886;Groningen;K1;9643;3075;7;20;3048;303;499;403;236;517;448;201;92;135;162;14;13;10;2;5;3;1;1;3
Arnhem;G0202;10795;Arnhem;K7;115207;38956;97;110;38749;8149;3004;4211;3855;4825;4237;1443;4466;2289;1110;515;221;93;133;53;74;38;22;11
Assen;G0106;10522;Assen;K3;51429;19567;36;72;19459;2858;2191;1717;1885;2326;2778;2592;1274;828;560;143;78;91;48;42;16;18;9;5
Asten;G0743;10478;'s-Hertogenbosch;K18;12689;5113;19;18;5076;455;1030;586;498;419;236;28;166;123;1451;13;25;14;8;5;7;5;5;2
Baarle-Nassau;G0744;10060;Tilburg;K17;5292;1835;7;4;1824;195;570;316;218;155;81;11;60;63;127;5;6;6;5;3;0;1;0;2
Baarn;G0308;11411;Utrecht;K8;19063;8717;20;39;8658;1658;1291;949;1409;519;621;585;695;412;302;61;56;33;21;12;9;13;8;4
Barendrecht;G0489;10943;Dordrecht;K14;34942;13259;21;43;13195;1818;1924;2273;1790;934;855;1781;533;585;429;90;69;33;11;29;20;9;8;4
Barneveld;G0203;10906;Arnhem;K7;39350;19180;31;29;19120;1054;3596;1926;1651;785;540;8285;337;259;406;65;63;28;16;69;19;8;10;3
Bedum;G0005;10425;Groningen;K1;8170;3603;12;11;3580;380;821;228;229;330;435;645;223;124;104;28;9;3;9;3;4;3;1;1
Beek;G0888;11374;Maastricht;K19;13278;5018;12;23;4983;831;1033;1041;475;503;329;43;181;168;301;27;19;8;3;4;5;4;4;4
Beemster;G0370;10816;Den Helder;K11;7046;3012;5;6;3001;444;486;353;657;200;297;32;184;151;108;28;24;14;12;1;5;2;3;0
Beesel;G0889;10195;Maastricht;K19;10647;3553;9;14;3530;283;887;864;295;394;260;30;139;93;216;17;29;8;4;3;5;0;2;1
Bellingwedde;G0007;10340;Groningen;K1;7303;2814;5;8;2801;241;287;464;298;534;402;94;184;160;76;19;10;7;10;5;4;3;3;0
Bergambacht;G0491;10962;Leiden;K15;7598;3849;8;5;3836;382;514;430;516;233;289;1097;120;118;82;13;15;7;3;8;1;7;0;1
Bergeijk;G1724;11160;'s-Hertogenbosch;K18;14280;4929;4;18;4907;550;1560;675;574;471;300;41;171;156;316;28;28;18;6;2;5;0;3;3
Bergen;G0893;11281;Maastricht;K19;10452;3279;5;16;3258;239;887;690;267;492;171;19;120;90;230;19;6;13;5;2;2;3;1;2
Bergen;G0373;11424;Den Helder;K11;24202;10859;29;31;10799;2115;1305;1244;1785;767;976;141;1039;736;431;67;79;40;32;14;15;5;4;4
Bergen op Zoom;G0748;11037;Tilburg;K17;50870;15982;29;68;15885;2432;2108;3240;2280;1534;1346;216;666;666;984;107;114;41;32;48;21;26;16;8
Berkelland;G1859;10436;Arnhem;K7;35115;14392;21;46;14325;1619;4684;1309;1676;1526;1428;269;665;407;518;93;33;20;19;7;20;19;8;5
Bernheze;G1721;10149;'s-Hertogenbosch;K18;22605;7538;12;7;7519;1036;2368;807;845;1113;398;44;253;167;382;48;21;11;11;3;4;5;2;1
Bernisse;G0568;10316;Dordrecht;K14;9945;3961;13;22;3926;501;674;703;598;344;279;250;133;180;160;28;20;15;8;18;1;6;7;1
Best;G0753;10442;'s-Hertogenbosch;K18;21721;7521;18;28;7475;1148;1217;961;1176;705;542;275;310;273;716;61;36;14;15;4;11;4;4;3
Beuningen;G0209;10417;Nijmegen;K6;19824;6604;25;19;6560;1114;962;901;952;892;645;75;395;199;325;33;23;9;10;4;8;6;4;3
Beverwijk;G0375;10272;Haarlem;K10;29569;9232;34;45;9153;1466;907;1717;987;979;994;154;625;524;526;100;53;44;15;22;15;14;7;4
Binnenmaas;G0585;10222;Dordrecht;K14;22824;9420;13;28;9379;1028;1462;1583;1318;677;761;1376;295;382;293;52;58;31;16;28;9;2;7;1
Bladel;G1728;11006;'s-Hertogenbosch;K18;15370;4933;6;18;4909;541;1419;670;656;508;312;28;196;155;338;19;11;22;11;2;6;10;4;1
Blaricum;G0376;10493;Haarlem;K10;7164;3446;3;10;3433;702;465;388;882;199;238;84;145;145;132;13;17;6;5;4;1;6;1;0
