RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Forum voor Democratie;GROENLINKS;Democraten 66 (D66);ChristenUnie/SGP;Partij voor de Dieren;50PLUS;PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Volt Nederland;DENK;vandeRegio & Piratenpartij;De Groenen;JEZUS LEEFT
Aa en Hunze;G1680;10787;Assen;K3;20745;9562;8;15;9539;2518;1756;924;828;1105;623;219;448;325;241;371;131;7;22;14;7
Aalsmeer;G0358;11264;Haarlem;K10;23090;10402;9;22;10371;1529;2375;1425;1518;630;688;624;326;461;365;185;181;22;14;8;20
Aalten;G0197;11046;Arnhem;K7;21283;8754;16;16;8722;1435;934;2818;828;594;425;522;189;290;235;324;84;19;8;4;13
Achtkarspelen;G0059;10199;Leeuwarden;K2;21586;7844;15;11;7818;1280;661;1687;1141;360;181;1425;152;201;361;263;52;5;10;9;30
Alblasserdam;G0482;11327;Dordrecht;K14;14924;6630;13;5;6612;999;697;632;738;233;226;2114;165;238;241;143;58;92;5;3;28
Albrandswaard;G0613;10124;Dordrecht;K14;19129;7981;9;6;7966;1144;1634;889;1410;513;432;440;303;424;343;210;136;48;9;14;17
Alkmaar;G0361;10527;Den Helder;K11;84165;36649;72;64;36513;8343;5063;2909;4028;5100;2591;723;2057;1747;1132;1337;898;369;104;70;42
Almelo;G0141;11053;Zwolle;K4;55476;18818;46;37;18735;3410;2332;3414;2563;1317;905;884;482;688;901;824;210;687;37;35;46
Almere;G0034;10018;Lelystad;K5;149786;50511;144;110;50257;9486;7558;2707;7841;5217;3436;1761;2643;2881;2587;1851;952;938;178;94;127
Alphen aan den Rijn;G0484;10517;Leiden;K15;84747;38146;59;76;38011;6223;6899;5185;4544;3228;2421;3278;1348;1584;1159;1002;665;260;83;54;78
Alphen-Chaam;G1723;10710;Tilburg;K17;8003;3477;9;8;3460;505;724;891;369;227;181;16;100;185;113;89;43;5;4;3;5
Altena;G1959;10078;Tilburg;K17;42652;17110;32;12;17066;1984;1836;3127;2131;647;481;4771;415;432;612;394;168;10;9;11;38
Ameland;G0060;11153;Leeuwarden;K2;2893;1584;2;5;1577;380;263;313;180;103;61;49;49;68;49;47;15;0;0;0;0
Amersfoort;G0307;10948;Utrecht;K8;116688;56269;83;94;56092;9868;8288;4886;4378;8857;5159;5012;2383;1491;1242;1781;1409;1044;119;101;74
